epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,7023.41,1.02553,0.60325,1.2494,0.80587,0.78908,0.78831,0.50896,1.2139,0.42883,1.37377,0.0055945,0.0055945,0.0055945
91,7100.88,1.01787,0.60306,1.24257,0.7798,0.77322,0.78489,0.50822,1.2079,0.42798,1.3766,0.005545,0.005545,0.005545
92,7178.23,1.02143,0.60159,1.24149,0.76175,0.77127,0.79893,0.51695,1.21452,0.42931,1.3782,0.0054955,0.0054955,0.0054955
93,7256.07,1.01431,0.59155,1.23726,0.77188,0.82082,0.81105,0.52242,1.21161,0.42355,1.36995,0.005446,0.005446,0.005446
94,7333.51,1.02443,0.6033,1.24368,0.87135,0.74199,0.8165,0.52456,1.22524,0.42246,1.3801,0.0053965,0.0053965,0.0053965
95,7410.89,1.01437,0.59606,1.23812,0.8567,0.71192,0.80694,0.51224,1.2452,0.42869,1.40444,0.005347,0.005347,0.005347
96,7488.3,1.0177,0.60236,1.24459,0.84004,0.75805,0.81052,0.52291,1.2197,0.42472,1.38024,0.0052975,0.0052975,0.0052975
97,7565.7,1.00835,0.58641,1.24159,0.88018,0.7496,0.80557,0.51895,1.21821,0.42152,1.38823,0.005248,0.005248,0.005248
98,7643.28,1.00939,0.59405,1.2376,0.8744,0.72673,0.80231,0.52457,1.21377,0.42214,1.37759,0.0051985,0.0051985,0.0051985
99,7720.75,1.00416,0.58739,1.23473,0.85124,0.73527,0.79976,0.51705,1.21444,0.42258,1.37204,0.005149,0.005149,0.005149
100,7798.6,1.00922,0.59225,1.23509,0.89077,0.73672,0.81432,0.51977,1.21975,0.42012,1.38027,0.0050995,0.0050995,0.0050995
101,7876.55,1.00428,0.58953,1.23153,0.85516,0.74883,0.81197,0.51835,1.23553,0.42127,1.39603,0.00505,0.00505,0.00505
102,7953.75,1.00782,0.59367,1.23069,0.87623,0.7176,0.80879,0.51202,1.2297,0.42238,1.38717,0.0050005,0.0050005,0.0050005
103,8030.64,1.00747,0.58716,1.22974,0.79264,0.79216,0.80477,0.51801,1.24211,0.4234,1.39792,0.004951,0.004951,0.004951
104,8107.77,1.00294,0.58863,1.23236,0.79317,0.77231,0.80394,0.51811,1.232,0.42193,1.38957,0.0049015,0.0049015,0.0049015
105,8185.44,1.00597,0.59048,1.23255,0.80514,0.79522,0.79309,0.51458,1.2085,0.41564,1.3695,0.004852,0.004852,0.004852
106,8262.51,1.00289,0.58922,1.23115,0.82635,0.74937,0.79288,0.51351,1.21628,0.41963,1.37929,0.0048025,0.0048025,0.0048025
107,8339.67,0.99458,0.57916,1.23139,0.80928,0.79462,0.79712,0.51119,1.22644,0.42092,1.38721,0.004753,0.004753,0.004753
108,8416.74,0.99695,0.58123,1.22637,0.82822,0.78715,0.79447,0.51116,1.22865,0.42129,1.39083,0.0047035,0.0047035,0.0047035
109,8493.96,0.98735,0.57002,1.22362,0.81486,0.79105,0.78911,0.51268,1.21961,0.42063,1.38369,0.004654,0.004654,0.004654
110,8570.97,0.99336,0.57576,1.22189,0.80599,0.772,0.7925,0.50795,1.22145,0.41999,1.38324,0.0046045,0.0046045,0.0046045
111,8648.39,0.99787,0.57206,1.2341,0.81121,0.78926,0.79158,0.51271,1.21093,0.41812,1.37144,0.004555,0.004555,0.004555
112,8725.47,0.99678,0.57604,1.22846,0.83,0.78264,0.79727,0.52282,1.21033,0.41589,1.37341,0.0045055,0.0045055,0.0045055
113,8802.74,1.00168,0.5776,1.22323,0.83931,0.78731,0.80768,0.52705,1.21009,0.41246,1.37256,0.004456,0.004456,0.004456
114,8879.56,0.99066,0.57969,1.22192,0.86931,0.76053,0.82349,0.53009,1.20742,0.41205,1.36616,0.0044065,0.0044065,0.0044065
115,8956.65,0.98586,0.57183,1.22645,0.85551,0.78797,0.82466,0.53423,1.20855,0.4136,1.36932,0.004357,0.004357,0.004357
116,9034.06,0.99264,0.56665,1.22569,0.85407,0.77826,0.82519,0.53634,1.20639,0.41128,1.36792,0.0043075,0.0043075,0.0043075
117,9111.02,0.99453,0.56307,1.22421,0.8794,0.77316,0.82932,0.53978,1.19914,0.40871,1.35954,0.004258,0.004258,0.004258
118,9188.41,0.98465,0.57184,1.22135,0.8768,0.78493,0.82081,0.53788,1.19635,0.40724,1.35687,0.0042085,0.0042085,0.0042085
119,9265.78,0.9817,0.55922,1.21668,0.88526,0.78793,0.8225,0.53347,1.19947,0.40849,1.35716,0.004159,0.004159,0.004159
120,9343.04,0.98438,0.56427,1.21283,0.85511,0.79556,0.81712,0.53146,1.1997,0.40948,1.35612,0.0041095,0.0041095,0.0041095
121,9420.13,0.98171,0.57059,1.21782,0.84504,0.79268,0.82164,0.53064,1.19827,0.40805,1.35596,0.00406,0.00406,0.00406
122,9497.24,0.98264,0.56719,1.21788,0.84156,0.76982,0.82164,0.53355,1.19913,0.40885,1.35822,0.0040105,0.0040105,0.0040105
123,9574.84,0.97878,0.56322,1.21812,0.86377,0.77861,0.81259,0.52411,1.19599,0.40793,1.35824,0.003961,0.003961,0.003961
124,9652.35,0.98023,0.56254,1.21998,0.85059,0.78568,0.81044,0.52216,1.19805,0.40908,1.36215,0.0039115,0.0039115,0.0039115
125,9729.46,0.98196,0.56593,1.22162,0.85664,0.7835,0.81507,0.52381,1.19876,0.40731,1.36281,0.003862,0.003862,0.003862
126,9806.76,0.97313,0.55203,1.21191,0.86632,0.78755,0.82106,0.52606,1.20034,0.40638,1.36376,0.0038125,0.0038125,0.0038125
127,9883.55,0.97328,0.56092,1.21553,0.82468,0.79343,0.82511,0.53214,1.20272,0.40578,1.36671,0.003763,0.003763,0.003763
128,9960.43,0.98255,0.56152,1.21854,0.82505,0.79343,0.82999,0.53594,1.19871,0.40311,1.36255,0.0037135,0.0037135,0.0037135
129,10037.6,0.97551,0.55419,1.21753,0.82469,0.79343,0.84019,0.54102,1.19575,0.40152,1.35977,0.003664,0.003664,0.003664
130,10114.9,0.97315,0.55936,1.21514,0.82761,0.79366,0.83957,0.54341,1.19315,0.4027,1.35818,0.0036145,0.0036145,0.0036145
131,10191.9,0.9754,0.566,1.20911,0.88601,0.78236,0.83911,0.54044,1.19218,0.40304,1.35703,0.003565,0.003565,0.003565
132,10269.2,0.96736,0.55068,1.21014,0.87818,0.78357,0.84296,0.5424,1.19088,0.40177,1.35604,0.0035155,0.0035155,0.0035155
133,10346.4,0.96372,0.54768,1.20956,0.87941,0.78383,0.84247,0.54073,1.19284,0.40279,1.3567,0.003466,0.003466,0.003466
134,10423.9,0.96228,0.55224,1.2114,0.87724,0.77898,0.83934,0.54109,1.19317,0.40395,1.35774,0.0034165,0.0034165,0.0034165
135,10501.4,0.96962,0.54854,1.21474,0.88894,0.76683,0.84203,0.53965,1.19683,0.40384,1.36129,0.003367,0.003367,0.003367
136,10578.7,0.96809,0.5528,1.2148,0.87429,0.78361,0.84133,0.53972,1.19807,0.40374,1.36275,0.0033175,0.0033175,0.0033175
137,10656.1,0.97286,0.55312,1.21355,0.89306,0.76936,0.84101,0.53711,1.19911,0.4051,1.36395,0.003268,0.003268,0.003268
138,10733.9,0.96302,0.54479,1.20656,0.87751,0.7839,0.8417,0.54076,1.19981,0.40592,1.36376,0.0032185,0.0032185,0.0032185
139,10810.6,0.97259,0.54895,1.21158,0.87745,0.78225,0.84447,0.54194,1.20195,0.40576,1.36755,0.003169,0.003169,0.003169
140,10888,0.95967,0.55006,1.20929,0.88182,0.77427,0.83963,0.53851,1.20162,0.4055,1.36703,0.0031195,0.0031195,0.0031195
141,10964.7,0.95864,0.54243,1.20403,0.8797,0.77273,0.8356,0.53477,1.20131,0.4068,1.36649,0.00307,0.00307,0.00307
142,11041.4,0.96099,0.54337,1.20601,0.88244,0.77231,0.83542,0.53484,1.20011,0.40497,1.36656,0.0030205,0.0030205,0.0030205
